keyword_google,nombre_es
car_dealer,Concesionaria de autos
car_rental,Alquiler de autos
car_repair,Taller mecánico
car_wash,Lavadero de autos
electric_vehicle_charging_station,Estación de carga eléctrica
gas_station,Estación de servicio
parking,Estacionamiento
rest_stop,Área de descanso
corporate_office,Oficina corporativa
farm,Granja
ranch,Estancia
art_gallery,Galería de arte
art_studio,Estudio de arte
auditorium,Auditorio
cultural_landmark,Punto cultural emblemático
historical_place,Lugar histórico
monument,Monumento
museum,Museo
performing_arts_theater,Teatro de artes escénicas
sculpture,Escultura
library,Biblioteca
preschool,Jardín de infantes
primary_school,Escuela primaria
school,Escuela
secondary_school,Escuela secundaria
university,Universidad
adventure_sports_center,Centro de deportes de aventura
amphitheatre,Anfiteatro
amusement_center,Centro de entretenimiento
amusement_park,Parque de diversiones
aquarium,Acuario
banquet_hall,Salón de banquetes
barbecue_area,Área de barbacoa
botanical_garden,Jardín botánico
bowling_alley,Boliche
casino,Casino
childrens_camp,Campamento infantil
comedy_club,Club de comedia
community_center,Centro comunitario
concert_hall,Sala de conciertos
convention_center,Centro de convenciones
cultural_center,Centro cultural
cycling_park,Parque para ciclismo
dance_hall,Salón de baile
dog_park,Parque para perros
event_venue,Lugar para eventos
ferris_wheel,Rueda de la fortuna
garden,Jardín
hiking_area,Zona de senderismo
historical_landmark,Lugar emblemático histórico
internet_cafe,Cibercafé
karaoke,Karaoke
marina,Puerto deportivo
movie_rental,Alquiler de películas
movie_theater,Cine
national_park,Parque nacional
night_club,Club nocturno
observation_deck,Mirador
off_roading_area,Zona de todoterreno
opera_house,Casa de ópera
park,Parque
philharmonic_hall,Sala filarmónica
picnic_ground,Área de picnic
planetarium,Planetario
plaza,Plaza
roller_coaster,Montaña rusa
skateboard_park,Parque de skate
state_park,
tourist_attraction,Atracción turística
video_arcade,Sala de videojuegos
visitor_center,Centro de visitantes
water_park,Parque acuático
wedding_venue,Salón de bodas
wildlife_park,Parque de vida silvestre
wildlife_refuge,Reserva de vida silvestre
zoo,Zoológico
public_bath,Baño público
public_bathroom,Sanitario público
stable,Establo
accounting,Contaduría
atm,Cajero automático
bank,Banco
acai_shop,Tienda de açaí
afghani_restaurant,Restaurante afgano
african_restaurant,Restaurante africano
american_restaurant,Restaurante americano
asian_restaurant,Restaurante asiático
bagel_shop,Tienda de bagels
bakery,Panadería
bar,Bar
bar_and_grill,Bar y parrilla
barbecue_restaurant,Parrilla
brazilian_restaurant,Restaurante brasileño
breakfast_restaurant,Desayunador
brunch_restaurant,Restaurante de brunch
buffet_restaurant,Restaurante buffet
cafe,Café
cafeteria,Cafetería
candy_store,Tienda de golosinas
cat_cafe,Café de gatos
chinese_restaurant,Restaurante chino
chocolate_factory,Fábrica de chocolate
chocolate_shop,Chocolatería
coffee_shop,Cafetería
confectionery,Confitería
deli,Rotisería
dessert_restaurant,Restaurante de postres
dessert_shop,Tienda de postres
diner,Comedor
dog_cafe,Café para perros
donut_shop,Tienda de donas
fast_food_restaurant,Comida rápida
fine_dining_restaurant,Restaurante gourmet
food_court,Patio de comidas
french_restaurant,Restaurante francés
greek_restaurant,Restaurante griego
hamburger_restaurant,Hamburguesería
ice_cream_shop,Heladería
indian_restaurant,Restaurante hindú
indonesian_restaurant,Restaurante indonesio
italian_restaurant,Restaurante italiano
japanese_restaurant,Restaurante japonés
juice_shop,Tienda de jugos
korean_restaurant,Restaurante coreano
lebanese_restaurant,Restaurante libanés
meal_delivery,Entrega de comida
meal_takeaway,Comida para llevar
mediterranean_restaurant,Restaurante mediterráneo
mexican_restaurant,Restaurante mexicano
middle_eastern_restaurant,Restaurante de Medio Oriente
pizza_restaurant,Pizzería
pub,Pub
ramen_restaurant,Restaurante de ramen
restaurant,Restaurante
sandwich_shop,Tienda de sándwiches
seafood_restaurant,Restaurante de mariscos
spanish_restaurant,Restaurante español
steak_house,Parrilla
sushi_restaurant,Restaurante de sushi
tea_house,Casa de té
thai_restaurant,Restaurante tailandés
turkish_restaurant,Restaurante turco
vegan_restaurant,Restaurante vegano
vegetarian_restaurant,Restaurante vegetariano
vietnamese_restaurant,Restaurante vietnamita
wine_bar,Bar de vinos
